lat,lon,sport,count
38.9570742,-84.3965653,basketball,1
39.0200706,-84.433817,basketball,1
39.0199851,-84.4336292,basketball,1
38.9976138,-84.6240605,basketball,1
39.0002859,-84.6290077,basketball,1
39.0971358,-84.5064951,baseball,1
39.0954246,-84.5160822,american_football,1
39.0616256,-84.5303382,american_football,1
39.0092616,-84.5573387,soccer,1
39.0559684,-84.5403833,baseball,1
39.0497684,-84.5542548,american_football,1
39.0489946,-84.5539391,american_football,1
39.0837304,-84.5519189,baseball,1
39.093958,-84.5529021,american_football,1
39.0923384,-84.5544297,baseball,1
39.0907505,-84.5553951,baseball,1
39.0915517,-84.555351,basketball,1
39.0547476,-84.5639384,tennis,1
39.0545075,-84.563877,tennis,1
39.0541347,-84.5649893,baseball,1
39.0751553,-84.4983713,baseball,1
39.0570473,-84.4992265,baseball,1
39.0558883,-84.5546968,tennis,1
39.0647146,-84.5369254,baseball,1
39.0656373,-84.5369915,baseball,1
39.0663281,-84.5344368,american_football,1
39.0675924,-84.533274,baseball,1
39.0617303,-84.5294519,baseball,1
39.0601104,-84.4544386,tennis,1
39.0603332,-84.4532879,baseball,1
39.0596293,-84.4530117,baseball,1
39.0657922,-84.4441438,tennis,1
39.0658957,-84.443787,tennis,1
39.0659634,-84.4432312,tennis,1
39.0646836,-84.4448776,basketball,1
39.0628004,-84.4434154,soccer,1
38.9856452,-84.6206357,baseball,1
38.9814086,-84.6137871,baseball,1
38.9883472,-84.6174332,baseball,1
38.9781967,-84.5066747,baseball,1
38.9779143,-84.5059525,baseball,1
38.9269745,-84.5094641,soccer,1
38.9269399,-84.5089412,soccer,1
39.0825233,-84.504369,baseball,1
39.085901,-84.481832,american_football,1
39.0857761,-84.4819045,baseball,1
39.0937203,-84.4825482,american_football,1
39.094003,-84.4818592,tennis,1
39.0943923,-84.4822444,basketball,1
39.0946842,-84.4834118,baseball,1
39.0950005,-84.4826877,baseball,1
39.0971957,-84.4814975,tennis,1
39.097414,-84.4811501,tennis,1
39.0967855,-84.480981,american_football,1
39.1010912,-84.4862576,baseball,1
39.1019426,-84.4871268,baseball,1
39.101418,-84.4870596,baseball,1
39.0610454,-84.5033528,tennis,1
39.0081995,-84.5573304,baseball,1
39.021722,-84.57032,baseball,1
39.0115188,-84.5676846,baseball,1
39.0111186,-84.5695458,baseball,1
39.0196538,-84.5690493,american_football,1
39.0177862,-84.5718806,tennis,1
39.0220654,-84.5661118,tennis,1
